Start	End	Direction	Weight
BCL2L2	BMF	0	1
ACVR2A	BMP2	0	1
ACVR2B	BMP2	0	1
BGN	BMP4	0	1
ACVR2A	BMP7	0	1
ABL1	BMP8B	0	1
BMP4	BMP8B	0	1
BMP2	BMPR1A	0	1
BMP4	BMPR1A	0	1
BMP6	BMPR1A	0	1
BMP7	BMPR1A	0	1
ARHGEF6	BMPR1B	0	1
BMP2	BMPR1B	0	1
BMP4	BMPR1B	0	1
BMP6	BMPR1B	0	1
ACVR1	BMPR2	0	1
BMP2	BMPR2	0	1
BMP4	BMPR2	0	1
BMP7	BMPR2	0	1
BMPR1A	BMPR2	0	1
BMPR1B	BMPR2	0	1
ARHGAP1	BNIP2	0	1
BCL2	BNIP2	0	1
BCL2	BNIP3	0	1
BCL2	BNIP3L	0	1
BCL2L1	BNIP3L	0	1
BNIP3	BNIP3L	0	1
ARHGAP1	BNIPL	0	1
BCL2	BNIPL	0	1
AKT1	BPGM	0	1
AKT1	BRAF	0	1
ACACA	BRCA1	0	1
AKT1	BRCA1	0	1
AR	BRCA1	0	1
ATM	BRCA1	0	1
ATR	BRCA1	0	1
BABAM1	BRCA1	0	1
BACH1	BRCA1	0	1
BARD1	BRCA1	0	1
BRAP	BRCA1	0	1
ABL1	BRCA2	0	1
BARD1	BRCA2	0	1
BRCA1	BRCA2	0	1
BABAM1	BRCC3	0	1
BARD1	BRCC3	0	1
BRCA1	BRCC3	0	1
BRCA2	BRCC3	0	1
AGR2	BRD7	0	1
BARD1	BRD7	0	1
BHLHE40	BRD7	0	1
ACTL6A	BRD8	0	1
BABAM1	BRE	0	1
BRCC3	BRE	0	1
BRCA1	BRIP1	0	1
ARID4A	BRMS1	0	1
ACTC1	BRP44L	0	1
ABL1	BRPF3	0	1
ACIN1	BTBD10	0	1
BRD7	BTBD2	0	1
ATXN1	BTG3	0	1
ABL1	BTK	0	1
BLNK	BTK	0	1
APC	BTRC	0	1
ATF4	BTRC	0	1
BORA	BTRC	0	1
ARIH2	BUB1	0	1
ANAPC7	BUB1B	0	1
BUB1	BUB3	0	1
BUB1B	BUB3	0	1
BCL2L1	C10ORF137	0	1
AKTIP	C10ORF2	0	1
ATXN1	C11ORF41	0	1
ARHGEF15	C11ORF49	0	1
AAMP	C11ORF57	0	1
A2M	C11ORF58	0	1
BNIP3L	C11ORF75	0	1
ATG13	C12ORF44	0	1
ALDH2	C14ORF1	0	1
ANXA1	C14ORF1	0	1
ANXA7	C14ORF1	0	1
BAIAP2	C14ORF1	0	1
BID	C14ORF1	0	1
BTBD2	C14ORF1	0	1
BEGAIN	C16ORF48	0	1
ATXN3	C16ORF70	0	1
ADAMTSL4	C17ORF103	0	1
BEGAIN	C17ORF28	0	1
ATXN1	C17ORF81	0	1
BAG6	C19ORF10	0	1
BAIAP2	C19ORF25	0	1
AIMP2	C19ORF57	0	1
C19ORF25	C19ORF57	0	1
ARSE	C19ORF6	0	1
ANXA1	C1ORF123	0	1
AKAP9	C1ORF94	0	1
ATXN1	C1ORF94	0	1
C1QA	C1QB	0	1
C1QA	C1QC	0	1
C1QB	C1QC	0	1
C1QA	C1R	0	1
C1R	C1S	0	1
C1S	C2	0	1
ACTL6A	C20ORF20	0	1
BRD8	C20ORF20	0	1
ARL4D	C20ORF30	0	1
ACP5	C2ORF18	0	1
ACP6	C2ORF18	0	1
ALDH2	C2ORF18	0	1
APC	C4A	0	1
C2	C4B	0	1
C2	C5	0	1
BSCL2	C5ORF62	0	1
ABL1	C6	0	1
C5	C6	0	1
C1ORF94	C6ORF165	0	1
BRD4	C7ORF25	0	1
AK5	C7ORF26	0	1
AAMP	C8ORF33	0	1
ALAS1	C8ORF33	0	1
BLOC1S2	C8ORF33	0	1
BRD4	C8ORF33	0	1
C10ORF137	C8ORF33	0	1
C8A	C9	0	1
ATP6V1E2	C9ORF16	0	1
C19ORF57	C9ORF86	0	1
ATP5C1	CA12	0	1
C15ORF29	CA12	0	1
ANKZF1	CA2	0	1
ABCA2	CACNA1A	0	1
ABI1	CACNA1A	0	1
