Start	End	Direction	Weight
ABI2	CCDC53	1	1
AGGF1	CCDC85B	1	1
AKAP17A	CCDC85B	1	1
AKIRIN2	CCDC85B	1	1
ALS2CR11	CCDC85B	1	1
APEX2	CCDC85B	1	1
AQP1	CCDC85B	1	1
BEX2	CCDC85B	1	1
C10ORF10	CCDC85B	1	1
C16ORF48	CCDC85B	1	1
C19ORF25	CCDC85B	1	1
C1ORF111	CCDC85B	1	1
C1ORF65	CCDC85B	1	1
C20ORF195	CCDC85B	1	1
C21ORF91	CCDC85B	1	1
C7ORF50	CCDC85B	1	1
C8ORF48	CCDC85B	1	1
CARD9	CCDC85B	1	1
CCDC11	CCDC85B	1	1
CCDC112	CCDC85B	1	1
CCDC116	CCDC85B	1	1
CCDC120	CCDC85B	1	1
CCDC33	CCDC85B	1	1
CCDC67	CCDC85B	1	1
BRAF	CCDC88A	1	1
AGR2	CCDC90B	1	1
ANXA7	CCDC90B	1	1
ARL15	CCDC90B	1	1
BTBD2	CCDC90B	1	1
CCK	CCKAR	1	1
ABL1	CCKBR	1	1
CCK	CCKBR	1	1
C14ORF1	CCL18	1	1
CCBP2	CCL2	1	1
CCBP2	CCL27	1	1
AES	CCL7	1	1
CCBP2	CCL7	1	1
BRCA1	CCNA1	1	1
BRCA1	CCNA2	1	1
BRCA1	CCNB1	1	1
AR	CCND1	1	1
BRCA1	CCND1	1	1
ATP5C1	CCND3	1	1
ATP4B	CCNDBP1	1	1
ATXN1	CCNK	1	1
CCDC85B	CCNK	1	1
AFF1	CCNT1	1	1
AFF4	CCNT1	1	1
CCL14	CCR1	1	1
CCL15	CCR1	1	1
CCL16	CCR1	1	1
CCL2	CCR1	1	1
CCL23	CCR1	1	1
CCL3	CCR1	1	1
CCL5	CCR1	1	1
CCL7	CCR1	1	1
CCL2	CCR10	1	1
CCL27	CCR10	1	1
CCL28	CCR10	1	1
CCL2	CCR2	1	1
CCL7	CCR2	1	1
CCL11	CCR3	1	1
CCL5	CCR3	1	1
CCL17	CCR4	1	1
CCL22	CCR4	1	1
CCL5	CCR4	1	1
CCL11	CCR5	1	1
CCL3	CCR5	1	1
CCL3L1	CCR5	1	1
CCL3L3	CCR5	1	1
CCL4	CCR5	1	1
CCL5	CCR5	1	1
CCL8	CCR5	1	1
CCL21	CCR7	1	1
CCL1	CCR8	1	1
CCL17	CCR8	1	1
ACTB	CCT2	1	1
ANXA1	CCT7	1	1
ANXA7	CCT7	1	1
ATP5C1	CCT7	1	1
CBL	CD19	1	1
B2M	CD1A	1	1
B2M	CD1B	1	1
B2M	CD1D	1	1
CD2	CD247	1	1
ABL1	CD2AP	1	1
BCAR1	CD2AP	1	1
CBL	CD2AP	1	1
CD2	CD2AP	1	1
CD2	CD2BP2	1	1
CANX	CD3D	1	1
CD3D	CD3E	1	1
CCR5	CD4	1	1
CD40	CD40LG	1	1
ANK1	CD44	1	1
C3	CD46	1	1
BRIX1	CD48	1	1
CD244	CD48	1	1
CD2	CD58	1	1
C9	CD59	1	1
CD27	CD70	1	1
CD5	CD72	1	1
BLNK	CD79A	1	1
CD79A	CD79B	1	1
CD28	CD80	1	1
CD28	CD86	1	1
CD8A	CD8B	1	1
CD63	CD9	1	1
CD81	CD9	1	1
ANAPC10	CDC16	1	1
ANAPC7	CDC20	1	1
BUB1B	CDC20	1	1
CCNA2	CDC20	1	1
CCNB1	CDC20	1	1
CDC16	CDC20	1	1
CCNB1	CDC25C	1	1
CDC16	CDC26	1	1
ABL1	CDC27	1	1
CDC20	CDC27	1	1
BTRC	CDC34	1	1
APOE	CDC37	1	1
APP	CDC37	1	1
BTBD10	CDC37	1	1
C19ORF44	CDC37	1	1
CC2D1A	CDC37	1	1
A2M	CDC42	1	1
AHSG	CDC42	1	1
APOH	CDC42	1	1
ARHGAP1	CDC42	1	1
ARHGAP32	CDC42	1	1
ARHGDIA	CDC42	1	1
ARHGEF11	CDC42	1	1
ARHGEF7	CDC42	1	1
ARRB1	CDC42	1	1
ARRB2	CDC42	1	1
BAIAP2	CDC42	1	1
BNIP2	CDC42	1	1
C14ORF1	CDC42	1	1
CDC42	CDC42BPA	1	1
CDC42	CDC42BPB	1	1
CDC42	CDC42EP1	1	1
ARHGAP26	CDC42EP2	1	1
CDC42	CDC42EP2	1	1
CDC42	CDC42EP3	1	1
CDC42	CDC42EP4	1	1
CDC42	CDC42EP5	1	1
