Start	End	Direction	Weight
CLK2	FANCM	0	1
FANCA	FANCM	0	1
FANCB	FANCM	0	1
FANCC	FANCM	0	1
FANCE	FANCM	0	1
FANCF	FANCM	0	1
FANCG	FANCM	0	1
FANCL	FANCM	0	1
CASP10	FAS	0	1
CASP8	FAS	0	1
CFLAR	FAS	0	1
DAXX	FAS	0	1
FADD	FAS	0	1
CASP8	FASLG	0	1
FADD	FASLG	0	1
FAS	FASLG	0	1
ARRB2	FBL	0	1
CUL1	FBXO11	0	1
CUL1	FBXO18	0	1
CUL1	FBXO4	0	1
BTRC	FBXO5	0	1
CDC27	FBXO5	0	1
CDK6	FBXO7	0	1
CUL1	FBXO7	0	1
BTRC	FBXW11	0	1
CDC25A	FBXW11	0	1
CDC25B	FBXW11	0	1
CTNNB1	FBXW11	0	1
CUL1	FBXW11	0	1
CCNE1	FBXW7	0	1
CUL1	FBXW8	0	1
CUL7	FBXW8	0	1
BLM	FEN1	0	1
BCR	FES	0	1
BRCA1	FHL2	0	1
BCL2	FKBP8	0	1
BCL2L1	FKBP8	0	1
CASR	FLNA	0	1
DRD2	FLNA	0	1
COL7A1	FN1	0	1
ATF2	FOS	0	1
BAP1	FOXK1	0	1
BAP1	FOXK2	0	1
CCNE1	FOXM1	0	1
AR	FOXO1	0	1
CREBBP	FOXO1	0	1
ESR1	FOXO1	0	1
CREBBP	FOXO4	0	1
CTNNB1	FOXO4	0	1
FGFR1	FRS2	0	1
FMR1	FXR2	0	1
BCAR1	FYN	0	1
CBL	FYN	0	1
CD2	FYN	0	1
CD36	FYN	0	1
CSK	FYN	0	1
DAG1	FYN	0	1
DLG4	FYN	0	1
FASLG	FYN	0	1
FYB	FYN	0	1
CDC27	FZR1	0	1
CRKL	GAB2	0	1
EGFR	GAB2	0	1
ATG7	GABARAP	0	1
ATG3	GABARAPL2	0	1
ATG4B	GABARAPL2	0	1
ATG7	GABARAPL2	0	1
EP300	GABPA	0	1
CCNB1	GADD45A	0	1
CDK1	GADD45A	0	1
CDKN1A	GADD45A	0	1
CDKN1A	GADD45G	0	1
EGFR	GAPDH	0	1
FLI1	GATA1	0	1
GABARAPL2	GBAS	0	1
CREBBP	GCM1	0	1
DDX20	GEMIN2	0	1
DDX20	GEMIN4	0	1
EIF2C2	GEMIN4	0	1
DDX20	GEMIN5	0	1
GEMIN6	GEMIN7	0	1
COPS5	GFER	0	1
GDNF	GFRA1	0	1
GDNF	GFRA2	0	1
CLINT1	GGA2	0	1
GH1	GHR	0	1
ADRBK1	GIT1	0	1
ARHGEF7	GIT1	0	1
GIT1	GIT2	0	1
EPS15	GJA1	0	1
CREBBP	GLI3	0	1
FKBP1A	GLMN	0	1
FKBP4	GLMN	0	1
CDT1	GMNN	0	1
ARHGEF1	GNA13	0	1
FYN	GNB2L1	0	1
BECN1	GOPC	0	1
CFTR	GOPC	0	1
GOLGA2	GORASP1	0	1
GOLGA2	GORASP2	0	1
FYN	GP6	0	1
COPS3	GPS1	0	1
COPS5	GPS1	0	1
ABL1	GRB10	0	1
ABL1	GRB2	0	1
ADAM15	GRB2	0	1
ALOX5	GRB2	0	1
ANXA2	GRB2	0	1
APP	GRB2	0	1
BCAR1	GRB2	0	1
BCR	GRB2	0	1
BLNK	GRB2	0	1
CBL	GRB2	0	1
CBLB	GRB2	0	1
CD22	GRB2	0	1
CD28	GRB2	0	1
CRK	GRB2	0	1
CTTN	GRB2	0	1
DNM1	GRB2	0	1
DRD3	GRB2	0	1
EGFR	GRB2	0	1
EPOR	GRB2	0	1
ERBB2	GRB2	0	1
FASLG	GRB2	0	1
FLNA	GRB2	0	1
FLNB	GRB2	0	1
FRS2	GRB2	0	1
GAB1	GRB2	0	1
GAB2	GRB2	0	1
DLG1	GRIA1	0	1
DLG1	GRIK2	0	1
DLG4	GRIK2	0	1
DLG4	GRIK5	0	1
GRIK2	GRIK5	0	1
DLG4	GRIN2A	0	1
FYN	GRIN2A	0	1
DLG3	GRIN2B	0	1
DLG4	GRIN2B	0	1
CARM1	GRIP1	0	1
EP300	GRIP1	0	1
ESR1	GRIP1	0	1
GRIK2	GRIP1	0	1
AXIN1	GSK3A	0	1
AKT1	GSK3B	0	1
APC	GSK3B	0	1
AXIN1	GSK3B	0	1
AXIN2	GSK3B	0	1
CTNNB1	GSK3B	0	1
ESR1	GSN	0	1
ETF1	GSPT1	0	1
ETF1	GSPT2	0	1
GTF2A1	GTF2A2	0	1
CREBBP	GTF2B	0	1
EP300	GTF2B	0	1
GTF2A1	GTF2E2	0	1
GTF2B	GTF2E2	0	1
GTF2E1	GTF2E2	0	1
AR	GTF2F1	0	1
GTF2B	GTF2F1	0	1
GTF2E1	GTF2F1	0	1
GTF2E2	GTF2F1	0	1
GTF2B	GTF2F2	0	1
CDK7	GTF2H1	0	1
ERCC2	GTF2H1	0	1
ERCC3	GTF2H1	0	1
CDK7	GTF2H2	0	1
ERCC2	GTF2H2	0	1
ERCC3	GTF2H2	0	1
ERCC3	GTF2H3	0	1
ERCC3	GTF2H4	0	1
GTF2H2	GTF2H4	0	1
ERCC3	GTF2H5	0	1
GTF2H2	GTF2H5	0	1
