Start	End	Direction	Weight
ACADM	PPARA	1	1
ACADM	RXRA	1	1
ACADM	RXRB	1	1
ACADM	RXRG	1	1
ACAN	SP1	1	1
ACAN	TFAP2A	1	1
ACAP1	ARF6	1	1
ACAP1	CLTC	1	1
ACAP1	GULP1	1	1
ACAP1	SLC2A4	1	1
ACAP2	ARF6	1	1
ACD	HIST1H4A	1	1
ACD	HIST3H3	1	1
ACD	POT1	1	1
ACD	TERF1	1	1
ACD	TERF2	1	1
ACD	TERF2IP	1	1
ACD	TINF2	1	1
ACHE	ATF1	1	1
ACHE	CREB1	1	1
ACHE	EGR1	1	1
ACHE	TFAP2A	1	1
ACIN1	CASP3	1	1
ACOX1	PPARA	1	1
ACOX1	PPARD	1	1
ACOX1	PPARG	1	1
ACOX1	RXRA	1	1
ACOX1	RXRB	1	1
ACOX1	RXRG	1	1
ACOX2	PPARA	1	1
ACOX2	PPARD	1	1
ACOX2	RXRA	1	1
ACOX2	RXRB	1	1
ACOX2	RXRG	1	1
ACOX3	PPARA	1	1
ACOX3	PPARD	1	1
ACOX3	RXRA	1	1
ACOX3	RXRB	1	1
ACOX3	RXRG	1	1
ACP1	CTNNB1	1	1
ACP1	EFNA1	1	1
ACP1	EPHA2	1	1
ACP1	PDGFRB	1	1
ACP5	NFKB1	1	1
ACP5	SPI1	1	1
ACSL1	CPT1A	1	1
ACSL1	CPT1B	1	1
ACSL1	CPT1C	1	1
ACSL1	PPARA	1	1
ACSL1	PPARG	1	1
ACSL1	RXRA	1	1
ACSL1	RXRB	1	1
ACSL1	RXRG	1	1
ACSL3	CPT1A	1	1
ACSL3	CPT1B	1	1
ACSL3	CPT1C	1	1
ACSL3	PPARA	1	1
ACSL3	PPARG	1	1
ACSL3	RXRA	1	1
ACSL3	RXRB	1	1
ACSL3	RXRG	1	1
ACSL4	CPT1A	1	1
ACSL4	CPT1B	1	1
ACSL4	CPT1C	1	1
ACSL4	PPARA	1	1
ACSL4	PPARG	1	1
ACSL4	RXRA	1	1
ACSL4	RXRB	1	1
ACSL4	RXRG	1	1
ACSL5	CPT1A	1	1
ACSL5	CPT1B	1	1
ACSL5	CPT1C	1	1
ACSL5	PPARA	1	1
ACSL5	PPARG	1	1
ACSL5	RXRA	1	1
ACSL5	RXRB	1	1
ACSL5	RXRG	1	1
ACSL6	CPT1A	1	1
ACSL6	CPT1B	1	1
ACSL6	CPT1C	1	1
ACSL6	PPARA	1	1
ACSL6	PPARG	1	1
ACSL6	RXRA	1	1
ACSL6	RXRB	1	1
ACSL6	RXRG	1	1
ACSS1	SIRT3	1	1
ACTA1	ACTN1	1	1
ACTA1	ACTN2	1	1
ACTA1	ACTN3	1	1
ACTA1	ACTN4	1	1
ACTA1	ADAM17	1	1
ACTA1	AGRN	1	1
ACTA1	AP2A1	1	1
ACTA1	AP2A2	1	1
ACTA1	ARHGEF6	1	1
ACTA1	ARHGEF7	1	1
ACTA1	BCAR1	1	1
ACTA1	CAPN1	1	1
ACTA1	CASP3	1	1
ACTA1	CAST	1	1
ACTA1	CDH1	1	1
ACTA1	CDH3	1	1
ACTA1	CGNL1	1	1
ACTA1	CHRM1	1	1
ACTA1	CHRNA1	1	1
ACTA1	CLTA	1	1
ACTA1	CLTB	1	1
ACTA1	CRKL	1	1
ACTA1	CTNNA1	1	1
ACTA1	CTNNA2	1	1
ACTA1	CTNNA3	1	1
ACTA1	CTNNB1	1	1
ACTA1	CTTN	1	1
ACTA1	DAG1	1	1
ACTA1	DIAPH1	1	1
ACTA1	DKFZP686A08248	1	1
ACTA1	DKFZP779C1668	1	1
ACTA1	DKFZP781B1340	1	1
ACTA1	DMD	1	1
ACTA1	ERBB3	1	1
ACTA1	EZR	1	1
ACTA1	FLT1	1	1
ACTA1	FLT4	1	1
ACTA1	GIT2	1	1
ACTA1	GSN	1	1
ACTA1	HIP1	1	1
ACTA1	HSPB1	1	1
ACTA1	HTT	1	1
ACTA1	IFT57	1	1
ACTA1	ITGA1	1	1
ACTA1	ITGB1	1	1
ACTA1	JUP	1	1
ACTA1	KDR	1	1
